CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L63040RJ1989PLC004942,CROWN TOURS LTD.,Active,Public,Company limited by Shares,Non-govt company,05-05-89,Rajasthan,40000000,31000000,63040,"Transport, storage and communications","OPP.RAJPUTANA SHERATON HOTEL, PALACE ROAD, JAIPUR. , Jaipur Unclassified RJ 302006",RoC-Jaipur,finance@crownjaipur.org,31-03-20,31-03-20
L63040RJ1992PLC007111,M.K. EXIM (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-12-92,Rajasthan,100000000,89705000,63040,"Transport, storage and communications","G-1/150, Garment Zone, EPIP, Sitapura, Tonk Road, Jaipur , Jaipur Unclassified RJ 302022",RoC-Jaipur,mkexim@mkexim.com,31-03-20,31-03-20
L65191RJ1943PLC000135,THE BANK OF RAJASTHAN LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,17-05-43,Rajasthan,2650000000,1613500930,65191,Financial intermediation,"CLOCK TOWER UDAIPUR , Unclassified RJ 313001",RoC-Jaipur,agrawalr@rajbank.com,31-03-09,31-03-09
L65910RJ1991PLC006391,BAID LEASING AND FINANCE CO. LTD.,Active,Public,Company limited by Shares,Non-govt company,20-12-91,Rajasthan,177900000,120068300,65910,Financial intermediation,"Baid House, IInd Floor , 1, Tara Nagar, Ajmer Road Jaipur , Unclassified RJ 302006",RoC-Jaipur,cs@baidgroup.in,31-03-20,31-03-19
L65922RJ1999PLC015440,SRG HOUSING FINANCE LIMITED,Active,Public,Company limited by Shares,Non-govt company,10-03-99,Rajasthan,160000000,130000000,65922,Financial intermediation,"321, S.M. LODHA COMPLEX,NEAR SHASTRI CIRCLE, UDAIPUR UDAIPUR , Unclassified RJ 000000",RoC-Jaipur,srghousing@gmail.com,31-03-20,31-03-19
L65922RJ2011PLC034297,AAVAS FINANCIERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-02-11,Rajasthan,850000000,785045510,65922,Financial intermediation,"201-202, 2nd Floor, South End Square Mansarover Industrial Area, Jaipur - 302020 Jaipur , Jaipur Unclassified RJ 302020",RoC-Jaipur,sharad.pathak@aavas.in,31-03-20,31-03-19
L65923RJ1991PLC059251,MAGNANIMOUS TRADE & FINANCE LTD,Active,Public,Company limited by Shares,Non-govt company,26-12-91,Rajasthan,23700000,9514680,65923,Financial intermediation,"D-1, Moti Lal Atal Road 1st Floor, Behind Hotel Neelam Jaipur , Jaipur Unclassified RJ 302001",RoC-Jaipur,co@mtfl.com,31-03-20,31-03-20
L65923RJ1995PLC009394,INDERGIRI FINANCE LTD.,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,27-01-95,Rajasthan,55000000,2061000,65923,Financial intermediation,"B-123-B,MANGAL MARG,BAPU NAGAR, JAIPUR 302015 JAIPUR 302015 , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L65990RJ2016PLC054921,APM FINVEST LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-05-16,Rajasthan,45000000,43222720,65990,Financial intermediation,"SP-147, RIICO INDUSTRIAL AREA BHIWADI , Unclassified RJ 301019",RoC-Jaipur,apmfinvestltd@gmail.com,31-03-20,31-03-19
L65993RJ1978PLC001826,PINK CITY INVESTMENT CO LTD,Active,Public,Company limited by Shares,Non-govt company,08-11-78,Rajasthan,2680000,2680000,65993,Financial intermediation,"B-25, GAUTAM MARG P.O.VAISHALINAGAR {HANUMAN NAGAR } KHATIPURA} JAIPUR , Unclassified RJ 000000",RoC-Jaipur,pinkcityinvestment@gmail.com,31-03-20,31-03-20
L65999RJ1986PLC070811,SYSTEMATIX SECURITIES LTD.,Active,Public,Company limited by Shares,Non-govt company,17-03-86,Rajasthan,70000000,50000000,65999,Financial intermediation,"PLOT NO. 35, OLD INDUSTRIAL RIICO AREA CHITTORGARH , Chittorgarh Unclassified RJ 312001",RoC-Jaipur,systematixctor@gmail.com,31-03-20,31-03-20
L67120RJ1935PLC000044,THE DIAMOND COMPANY LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,14-01-35,Rajasthan,5000000,700000,67120,Financial intermediation,"BANK BUILDING,DIDWANA341 303 DISTT.NAGAUR C , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L67120RJ1951PLC045966,JK TYRE & INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-02-51,Rajasthan,1800000000,492461760,67120,Financial intermediation,"JAYKAYGRAM PO - TYRE FACTORY KANKROLI , Rajsamand Unclassified RJ 313342",RoC-Jaipur,pkrustagi@jkmail.com,31-03-20,31-03-20
L67120RJ1975PLC045573,BEEKAY NIRYAT LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-06-75,Rajasthan,80000000,76842370,67120,Financial intermediation,"SP-825, ROAD NO.14, VISHWAKARMA INDUSTRIAL AREA JAIPUR , Jaipur Unclassified RJ 302013",RoC-Jaipur,beekayniryat1975@gmail.com,31-03-20,31-03-20
L67120RJ1982PLC002438,TIRUPATI FINCORP LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-03-82,Rajasthan,200000000,49442250,67120,Financial intermediation,"PN-1 TELEPHONE COLONY TONK PHATAK Jaipur , Jaipur Unclassified RJ 302015",RoC-Jaipur,tirupatifincorp31@gmail.com,31-03-19,31-03-19
L67120RJ1990PLC005371,CONTINENTAL SECURITIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-03-90,Rajasthan,100000000,42506000,67120,Financial intermediation,"FLAT NO. 301, METRO PLAZA, PARIVAHAN MARG JAIPUR , Jaipur Unclassified RJ 302001",RoC-Jaipur,continentalsecuritieslimited@gmail.com,31-03-20,31-03-20
L67120RJ1991PLC006220,PREM SOMANI FINANCIAL SERVICES LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-09-91,Rajasthan,70000000,33034000,67120,Financial intermediation,"42,Jai Jawan Colony Scheme No.3 Durgapura Jaipur , Jaipur Unclassified RJ 302018",RoC-Jaipur,limitedpsfs@gmail.com,31-03-20,31-03-20
L67120RJ1993PLC061489,SHRI KALYAN HOLDINGS LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-01-93,Rajasthan,110000000,99745000,67120,Financial intermediation,"B-19, LAL BAHADUR NAGAR MALVIYA NAGAR JAIPUR , Jaipur Unclassified RJ 302017",RoC-Jaipur,shrikalyan25@hotmail.com,31-03-20,31-03-19
L67120RJ1994PLC008284,ZYDEN GENTEC LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-04-94,Rajasthan,150000000,111124000,67120,Financial intermediation,"143, DEEPSHRI BUILDING,KOTRI ROAD, GUMANPURA, KOTA , Unclassified RJ 324007",RoC-Jaipur,vinodguptazyden@gmail.com,31-03-20,31-03-20
L67120RJ1994PLC008593,DHRUVA CAPITAL SERVICES LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-07-94,Rajasthan,35000000,32617000,67120,Financial intermediation,"003-A, ""CIRCLE VIEW"", APARTMENT-169,, FATEHPURIA, NEAR SUKHADIA CIRCLE, UDAIPUR , Unclassified RJ 313001",RoC-Jaipur,dhruvacapital@gmail.com,31-03-20,31-03-19
L67120RJ1994PLC009037,BHILWARA TEX-FIN LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,16-11-94,Rajasthan,40000000,35027000,67120,Financial intermediation,"13, GANDHI NAGAR BHILWARA , Unclassified RJ 311001",RoC-Jaipur,NA,NA,NA
L67120RJ1995PLC009631,S R G SECURITIES FINANCE LTD.,Active,Public,Company limited by Shares,Non-govt company,06-03-95,Rajasthan,120000000,53754000,67120,Financial intermediation,"322, SM LODHA COMPLEX,UDAIPUR. UDAIPUR. UDAIPUR. , Unclassified RJ 313001",RoC-Jaipur,srgsecurities@gmail.com,31-03-20,31-03-20
L67120RJ1995PLC009694,MOTIKA FINANCE LTD,Active,Public,Company limited by Shares,Non-govt company,15-03-95,Rajasthan,35000000,31000000,67120,Financial intermediation,"LG-2, SHIVAJI APPARTMENT, PLOT NO. A-1, SHIVAJI NAGAR, CIVIL LINES JAIPUR , Jaipur Unclassified RJ 302006",RoC-Jaipur,mfl.india@yahoo.in,31-03-20,31-03-20
L72200RJ1994PLC008112,PALSOFT INFOSYSTEMS LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-03-94,Rajasthan,50000000,30031000,72200,Computer and related activities,"D469, ROAD NO.9A, V K I,AREA, JAIPUR , Jaipur Unclassified RJ 302013",RoC-Jaipur,palsoftinfo@gmail.com,31-03-19,31-03-19
L72200RJ1995PLC009798,COMPUCOM SOFTWARE LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-03-95,Rajasthan,200000000,158250376,72200,Computer and related activities,"IT:-14-15, EPIP SITAPURA JAIPUR , Unclassified RJ 302022",RoC-Jaipur,FIN@COMPUCOM.CO.IN,31-03-20,31-03-20
L72200RJ1995PLC010192,SOFCOM SYSTEMS LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-06-95,Rajasthan,65000000,41550000,72200,Computer and related activities,"D-36, Subhash Marg, Flat No. 802 Sheel Mohar Apartment, C-Scheme Jaipur , Unclassified RJ 302001",RoC-Jaipur,sofcomsystemsltd@gmail.com,31-03-20,31-03-19
L72200RJ1998PLC015225,SM TELESYS LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-11-98,Rajasthan,110000000,105919000,72200,Computer and related activities,"G-1074, PHASE-III, INDUSTRIALAREA, BHIWADI , Unclassified RJ 301019",RoC-Jaipur,info@smtelesys.com,31-03-06,31-03-06
L72200RJ2000PLC016272,CAREER POINT LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-03-00,Rajasthan,250000000,181929390,72200,Computer and related activities,"CP Tower 1, Road No. 1, IPIA KOTA , Kota Unclassified RJ 324005",RoC-Jaipur,TARUNJAINFCS@GMAIL.COM,31-03-20,31-03-20
L72900RJ2015PLC047363,INNOVANA THINKLABS LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-04-15,Rajasthan,110000000,102500000,72900,Computer and related activities,"Plot No. D-41, Patrakar Colony, Near Jawahar Nagar Moti Dungri Vistar Yojna, Raja Park Jaipur , Jaipur Unclassified RJ 302004",RoC-Jaipur,info@innovanathinklabs.com,31-03-20,31-03-20
L74110RJ2013PLC066946,MEHAI TECHNOLOGY LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-12-13,Rajasthan,110000000,107100000,74110,Other business activities,"B-40, Sudarshanpura Industrial Area (extension); Jaipur-302006 RJ IN Jaipur , Jaipur Unclassified RJ 302006",RoC-Jaipur,mehai.technology@gmail.com,31-03-20,31-03-20
L74140RJ1984PLC003147,INDUSTRIAL PROGRESIVE INDIA LTD,Active,Public,Company limited by Shares,Non-govt company,19-11-84,Rajasthan,100000000,89950000,74140,Other business activities,"FIRST FLOOR, 23 OIL MARKET DHAN MANDI UDAIPUR , Unclassified RJ 313001",RoC-Jaipur,cmarajansahdev@gmail.com,31-03-15,31-03-15
L74210RJ1992PLC007010,DAZZEL CONFINDIVE LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-10-92,Rajasthan,150000000,147982000,74210,Other business activities,"SBG-4, BEHIND AIR INDIA, NEHRU PALACE, LAL KOTHI, TONK ROAD, JAIPUR , Jaipur Unclassified RJ 302015",RoC-Jaipur,dazzel_confindive@rediffmail.com,31-03-20,31-03-20
L74950RJ1985PLC003275,ASIA PACK LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-04-85,Rajasthan,35000000,26374200,74950,Other business activities,"3rd Floor, Miraj Campus, Uper Ki Oden, Nathdwara , Rajsamand Unclassified RJ 313301",RoC-Jaipur,cs@mirajgroup.in,31-03-20,31-03-20
L74999RJ1938PLC019511,JK LAKSHMI CEMENT LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-08-38,Rajasthan,2000000000,588350330,74999,Other business activities,"JAYAKAYPURAM BASANTGARH DISTT SIROHI , Unclassified RJ 000000",RoC-Jaipur,bkdaga@jkmail.com,31-03-20,31-03-20
L74999RJ1992PLC013387,TITAN BIOTECH LTD. (TRANSFER FROM DELHITO RAJ.),Active,Public,Company limited by Shares,Non-govt company,18-02-92,Rajasthan,100000000,82637000,74999,Other business activities,"A-902 A,RIICO.INDL.AREA PHASE-III, BHIWADI , Unclassified RJ 301019",RoC-Jaipur,CS@TITANBIOTECHLTD.COM,31-03-20,31-03-20
L85110RJ1989PLC005206,SHARMA EAST INDIA HOSPITALS AND MEDICALRESEARCH LTD.,Active,Public,Company limited by Shares,Non-govt company,16-11-89,Rajasthan,70000000,41574750,85110,Health and social work,"JAIPUR HOSPITAL,NEAR SMS STADIUM,LAL KOTHI, TONK ROAD, JAIPUR , Unclassified RJ 000000",RoC-Jaipur,sharmaeastindia@gmail.com,31-03-19,31-03-19
L99999RJ1985PLC046460,CHAMBAL BREWERIES AND DISTILLERIESLIMITED,Active,Public,Company limited by Shares,Non-govt company,28-03-85,Rajasthan,100000000,74887580,99999,Extraterritorial organizations and bodies,"A-7 Shopping Centre, Kota Kota , Kota Unclassified RJ 324007",RoC-Jaipur,chambalbreweries@gmail.com,31-03-20,31-03-20
U00003RJ2006PTC022387,PATIDAR AGRIBUSINESS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,1000000,600000,3,Unclassified,"NEAR CENTRAL SCHOOL,OPP.SANJIVINI HOSPITAL, JHARAPATAN ROAD,NH-12, JHALAWAR , Unclassified RJ 000000",RoC-Jaipur,ramgoyal86@gmail.com,31-03-19,31-03-19
U00069RJ2006PTC022365,AONE STAR HOTEL AND RESORT PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,10-04-06,Rajasthan,500000,100000,69,Unclassified,"SARDAR JI CHUNE WALABUS-STAND ROAD,JHALRAPATAN JHALAWAR JHALAWAR , Unclassified RJ 000000",RoC-Jaipur,rathodjayant@ymail.com,31-03-16,31-03-16
U00069RJ2006PTC022381,SHREE NAVNEET PRIYA GARDEN AND HOTELSPRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,500000,100000,69,Unclassified,"NEAR BENAS BRIDGE,OPP.YASODHANANDAN BAGH,NATHDWARA DISTT.RAJSAMAND-313301 DISTT.RAJSAMAND-313301 , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
U00069RJ2006PTC022388,WHISPERING MEADOWS CLUB AND RESORTSPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,15000000,12000000,69,Unclassified,"A-1,IST FLOOR,YAMUNA PATH SURAJ NAGAR(W)CIVIL LINES, JAIPUR-302006 JAIPUR-302006 , Unclassified RJ 000000",RoC-Jaipur,wminfotreehouse@gmail.com,31-03-20,31-03-20
U00082RJ2006PLC022379,WINGATE DEVELOPERS LIMITED,Converted to LLP,Public,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,2000000,500000,82,Unclassified,"Shop No. 13-21, 5th Floor, SUNNY MART, NEW ATISH MARKET, Mansarovar JAIPUR , Unclassified RJ 302020",RoC-Jaipur,fcsmanish.mca@gmail.com,31-03-15,31-03-15
U00082RJ2006PTC022373,RUDRAKSH BUILDCON AND TOWNSHIP PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,82,Unclassified,"D-3,MURTI KALA COLONY,GOPALPURA BYE-PASS,JAIPUR GOPALPURA BYE-PASS,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,agrawalharishca@yahoo.co.in,31-03-16,31-03-16
U00082RJ2006PTC022378,FAIRMOUNT DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,35000000,479000,82,Unclassified,"6th FLOOR, APEX MALL, LAL KOTHI, TONK ROAD, JAIPUR , Jaipur Unclassified RJ 302015",RoC-Jaipur,infocompanygroup@gmail.com,31-03-20,31-03-20
U00082RJ2006PTC022390,GALVANIC CONSTRUCTION AND MANAGEMENTSERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,82,Unclassified,"GOLCHA GARDEN,AGRA ROAD,JAIPUR JAIPUR , Unclassified RJ 000000",RoC-Jaipur,pkjain@golcha.com,31-03-20,31-03-20
U00082RJ2006PTC022392,DHARTIDHAN BUILDING SOLUTIONS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,82,Unclassified,"GOLCHA GARDEN AGRA ROAD JAIPUR , Unclassified RJ 302002",RoC-Jaipur,golcha@sales.com,31-03-13,31-03-13
U00082RJ2006PTC022393,INEXEL DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,82,Unclassified,"325, LAXMI COMPLEX, M.I. ROAD, JAIPUR , Unclassified RJ 302001",RoC-Jaipur,anurag3688@gmail.com,31-03-20,31-03-20
U00304RJ2006PTC022386,U.D. PHARMA PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,200000,100000,304,Unclassified,"11-A,SURAJ NAGAR(E)CIVIL LINES,JAIPUR CIVIL LINES,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,VKSARAF679@REDIFFMAIL.COM,31-03-10,31-03-10
U00313RJ2006PTC022402,SABIK PLASCO PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,13-04-06,Rajasthan,500000,100000,313,Unclassified,"NAGOUR ROAD,DIDWANA-341303DISTT.NAGAUR DISTT.NAGAUR , Unclassified RJ 000000",RoC-Jaipur,ppincha@gmail.com,NA,NA
U00324RJ1985PTC068326,BHATNAGAR CEMENT COMPANY PRIVATE LTD.,Active,Private,Company limited by Shares,Non-govt company,10-01-85,Rajasthan,2000000,1907000,324,Unclassified,"A 17 RIICO IA BEHROR BEHROR , Alwar Unclassified RJ 301701",RoC-Jaipur,krishs291@yahoo.in,31-03-20,31-03-20
U00357RJ2006PTC022380,TOLERAN ENGINEERING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,357,Unclassified,"650,SHANTI NAGAR,DURGAPURA,JAIPUR-302018 JAIPUR-302018 , Unclassified RJ 000000",RoC-Jaipur,tepltd1@gmail.com,31-03-19,31-03-19
U00357RJ2006PTC022397,PRERNA ENGICHEM PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,400000,200000,357,Unclassified,"2/206, VIDYADHAR NAGAR, JAIPUR , Unclassified RJ 302023",RoC-Jaipur,prernaengichem@gmail.com,31-03-20,31-03-20
U00374RJ2006PTC022372,BHATIA CORPORATION PRIVATE LIMITED (PART IX),Active,Private,Company limited by Shares,Non-govt company,10-04-06,Rajasthan,250000000,210000000,374,Unclassified,"23-24 B, INDUSTRIAL ESTATESKOTA-324007 KOTA-324007 , Unclassified RJ 000000",RoC-Jaipur,accountsbhatiagroup@yahoo.com,31-03-20,31-03-20
U00374RJ2006PTC022382,SHIVAM SUPER AUTOMART PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,1000000,900000,374,Unclassified,"A-9, IInd FLOOR, GANPATI ENCLAVE, NEAR ANCHOR MALL, AJMER ROAD, JAIPUR , Jaipur Unclassified RJ 302006",RoC-Jaipur,amitgoyalandco@gmail.com,31-03-20,31-03-20
U00374RJ2006PTC022383,SUNSHINE AUTOVEHICLE PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,374,Unclassified,"7-JALUPURA LINK ROAD,M.I.ROAD,JAIPUR M.I.ROAD,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
U00374RJ2006PTC022384,SUNRISE AUTOMART PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,1000000,850000,374,Unclassified,"A-9, IInd FLOOR, GANPATI ENCLAVE, NEAR ANCHOR MAILL, AJMER ROAD, JAIPUR , Jaipur Unclassified RJ 302006",RoC-Jaipur,amitgoyalandco@gmail.com,31-03-20,31-03-20
U00383RJ2006PTC022376,ALLIED JEWELLERY MANUFACTURING PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,2500000,200000,383,Unclassified,"B-2, BHABHA MARG, GANESH NAGAR, MOTI DOONGRI, JAIPUR , Unclassified RJ 302004",RoC-Jaipur,alliedjewellerymfg@gmail.com,31-03-20,31-03-20
U00383RJ2006PTC022389,CHEQUERED BEADS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,383,Unclassified,"2,DASH BHUSAN NAGAR,OPP.GALTA GATE,THANA DELHI BYE-PASS,JAIPUR BYE-PASS,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,chequeredbeads@gmail.com,31-03-13,31-03-13
U00383RJ2006PTC022391,CASTLEMARK JEWELLERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,383,Unclassified,"C-7,IIND FLOOR,GOVINDKRIPABUILDING BEHIND BANK OF RAJ. M.I.ROAD,JAIPUR M.I.ROAD,JAIPUR , Jaipur Unclassified RJ 000000",RoC-Jaipur,castlemark@indiatimes.com,NA,NA
U00500RJ2005PTC065718,PEARL PROPCON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-08-05,Rajasthan,1050000,793600,500,Unclassified,"Room No. T-2, 3rd Floor, Salasar Plaza, Baba Harish Chandra Marg ,Chokri Topkhana, Jaipur , Jaipur Unclassified RJ 302001",RoC-Jaipur,absolute.ranjit@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022369,HARIYALI PROPCON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-04-06,Rajasthan,100000,100000,500,Unclassified,"LAXMI NARAIN CHAMBER 3HARI MARG, MANSINGH PURA, TONK ROAD, JAIPUR 302018 TONK ROAD, JAIPUR 302018 , Unclassified RJ 000000",RoC-Jaipur,neeradagrl@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022370,SUBHASHREE MANGAL PROPCON PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,10-04-06,Rajasthan,400000,395000,500,Unclassified,"E-74A RAM NAGAR EXTENSION, NEW SANGANER, SODALA JAIPUR , Jaipur Unclassified RJ 302019",RoC-Jaipur,drseema1313@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022371,RAJSHREE MANGAL PROPCON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-04-06,Rajasthan,700000,498000,500,Unclassified,"106,PRISM TOWER,OPP. OLD SABZI MANDI, LAL KOTHI,TONK ROAD JAIPUR , Unclassified RJ 302015",RoC-Jaipur,drseema1313@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022374,DAKSH TOWNSHIP PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,500,Unclassified,"Omaxe City, 111th Milestone, Near Bad ke Balaji Bus Stand, Jaipur-Ajmer Expressway Jaipur , Unclassified RJ 302026",RoC-Jaipur,secretarial_1@omaxe.com,31-03-20,31-03-20
U00500RJ2006PTC022375,SANYA LAND DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,1500000,1500000,500,Unclassified,"4A, EAST, PATEL NAGAR, CIRCUT HOUSE ROAD, LIC OFFICE KE SAMNE, RATANADA, Jodhpur , Jodhpur Unclassified RJ 342011",RoC-Jaipur,accounts@ashapurna.com,31-03-20,31-03-20
U00500RJ2006PTC022377,GOLDEN GLADES BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,500000,500000,500,Unclassified,"Omaxe City, 111th Milestone, Near Bad ke Balaji Bus Stand, Jaipur-Ajmer Expressway Jaipur , Unclassified RJ 302026",RoC-Jaipur,secretarial_1@omaxe.com,31-03-20,31-03-20
U00500RJ2006PTC022394,GHANTAKARN BUILDESTATE AND LANDDEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,500,Unclassified,"MOTI LANE SIROHI , Unclassified RJ 307001",RoC-Jaipur,bherusingh@adarshcredit.com,31-03-17,31-03-17
U00500RJ2006PTC022395,RAYA PROPERTIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,2000000,100000,500,Unclassified,"38,SHIV PATH,SURAJ NAGAR(W)CIVIL LINES,JAIPUR CIVIL LINES,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,hotelrayainn@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022396,SUKH SAGAR PROPCON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,500,Unclassified,"38,SHIV PATH,SURAJ NAGAR(W)CIVIL LINES,JAIPUR CIVIL LINES,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,pradhanrc@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022399,SILVER PEAK TOWNSHIP PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,500000,500000,500,Unclassified,"Omaxe City, 111th Milestone, Near Bad ke Balaji Bus Stand, Jaipur-Ajmer Expressway Jaipur , Jaipur Unclassified RJ 302026",RoC-Jaipur,secretarial_1@omaxe.com,31-03-20,31-03-20
U00500RJ2006PTC022400,PEARL PEAK LANDBASE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,500,Unclassified,"Plot No. A-15B, RICO Industrial Area, Phase-1 NH-8, Behror Behror , Alwar Unclassified RJ 310701",RoC-Jaipur,secretarial.kabir@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022401,SUPERIOR LANDBASE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-04-06,Rajasthan,100000,100000,500,Unclassified,"Plot No. A-15B, RICO Industrial Area, Phase-1 NH-8, Behror Behror , Alwar Unclassified RJ 310710",RoC-Jaipur,secretarial.kabir@gmail.com,31-03-20,31-03-20
U00500RJ2006PTC022404,KEYSTONE DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-04-06,Rajasthan,50100000,33918000,500,Unclassified,"B - 4, GANPATI ENCLAVE, MADRAMPURA AJMER ROAD JAIPUR , Unclassified RJ 302001",RoC-Jaipur,keystonedev1@gmail.com,31-03-19,31-03-19
U00500RJ2006PTC022405,MADHUR LANDBASE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-04-06,Rajasthan,100000,100000,500,Unclassified,"201,KISHORE NIWAS,BAZAR,JAIPUR BAZAR,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,ss-gems@hotmail.com,31-03-20,31-03-20
U00500RJ2006PTC022406,RAAJSURAJ CONSTRUCTION PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,13-04-06,Rajasthan,100000,100000,500,Unclassified,"81,SHIV PATHRAM NAGAR,SODALA,JAIPUR SODALA,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
